id,brand,supplier_sku,title,finish,construction,status,width_mm,height_mm,depth_mm,model_url,source_url,review_reasons
oppein-pb-gss-3db24,OPPEIN,PB-GSS-3DB24,3 Drawer Base Cabinet,Gray Single Shaker,Particle board,model_ready,609.6,762.0,606.425,/cabinet-inventory/models/oppein-pb-gss-3db24.glb,https://www.oppeincabinetry.ca/shop/pb-gss-3db24-3-drawer-base-cabinet-17933,
oppein-pb-gss-3db21,OPPEIN,PB-GSS-3DB21,3 Drawer Base Cabinet,Gray Single Shaker,Particle board,model_ready,533.4,762.0,606.425,/cabinet-inventory/models/oppein-pb-gss-3db21.glb,https://www.oppeincabinetry.ca/shop/pb-gss-3db21-3-drawer-base-cabinet-17932,
oppein-pb-gss-3db18,OPPEIN,PB-GSS-3DB18,3 Drawer Base Cabinet,Gray Single Shaker,Particle board,model_ready,457.2,762.0,606.425,/cabinet-inventory/models/oppein-pb-gss-3db18.glb,https://www.oppeincabinetry.ca/shop/pb-gss-3db18-3-drawer-base-cabinet-17931,
oppein-pb-gss-3db15,OPPEIN,PB-GSS-3DB15,3 Drawer Base Cabinet,Gray Single Shaker,Particle board,model_ready,381.0,762.0,606.425,/cabinet-inventory/models/oppein-pb-gss-3db15.glb,https://www.oppeincabinetry.ca/shop/pb-gss-3db15-3-drawer-base-cabinet-17930,
oppein-pb-gss-3db12,OPPEIN,PB-GSS-3DB12,3 Drawer Base Cabinet,Gray Single Shaker,Particle board,model_ready,304.8,762.0,606.425,/cabinet-inventory/models/oppein-pb-gss-3db12.glb,https://www.oppeincabinetry.ca/shop/pb-gss-3db12-3-drawer-base-cabinet-17929,
oppein-ply-wss-3db15,OPPEIN,PLY-WSS-3DB15,3 Drawer Base Cabinet,White Single Shaker,Plywood,model_ready,381.0,762.0,606.425,/cabinet-library/models/PLY-WSS-3DB15.glb,https://www.oppeincabinetry.ca/shop/ply-wss-3db15-3-drawer-base-cabinet-9932,
oppein-pb-bss-3db12,OPPEIN,PB-BSS-3DB12,3 Drawer Base Cabinet,Blue Single Shaker,Particle board,model_ready,304.8,762.0,606.425,/cabinet-inventory/models/oppein-pb-bss-3db12.glb,https://www.oppeincabinetry.ca/shop/pb-bss-3db12-3-drawer-base-cabinet-17657,
oppein-pb-bss-3db15,OPPEIN,PB-BSS-3DB15,3 Drawer Base Cabinet,Blue Single Shaker,Particle board,model_ready,381.0,762.0,606.425,/cabinet-inventory/models/oppein-pb-bss-3db15.glb,https://www.oppeincabinetry.ca/shop/pb-bss-3db15-3-drawer-base-cabinet-17658,
oppein-pb-bss-3db18,OPPEIN,PB-BSS-3DB18,3 Drawer Base Cabinet,Blue Single Shaker,Particle board,model_ready,457.2,762.0,606.425,/cabinet-inventory/models/oppein-pb-bss-3db18.glb,https://www.oppeincabinetry.ca/shop/pb-bss-3db18-3-drawer-base-cabinet-17659,
oppein-pb-bss-3db24,OPPEIN,PB-BSS-3DB24,3 Drawer Base Cabinet,Blue Single Shaker,Particle board,model_ready,609.6,762.0,606.425,/cabinet-inventory/models/oppein-pb-bss-3db24.glb,https://www.oppeincabinetry.ca/shop/pb-bss-3db24-3-drawer-base-cabinet-17661,
oppein-pb-wss-3db36,OPPEIN,PB-WSS-3DB36,3 Drawer Base Cabinet,White Single Shaker,Particle board,model_ready,914.4,762.0,606.425,/cabinet-inventory/models/oppein-pb-wss-3db36.glb,https://www.oppeincabinetry.ca/shop/pb-wss-3db36-3-drawer-base-cabinet-17801,
oppein-pb-wss-3db33,OPPEIN,PB-WSS-3DB33,3 Drawer Base Cabinet,White Single Shaker,Particle board,model_ready,838.2,762.0,606.425,/cabinet-inventory/models/oppein-pb-wss-3db33.glb,https://www.oppeincabinetry.ca/shop/pb-wss-3db33-3-drawer-base-cabinet-17800,
oppein-pb-wss-3db30,OPPEIN,PB-WSS-3DB30,3 Drawer Base Cabinet,White Single Shaker,Particle board,model_ready,762.0,762.0,606.425,/cabinet-inventory/models/oppein-pb-wss-3db30.glb,https://www.oppeincabinetry.ca/shop/pb-wss-3db30-3-drawer-base-cabinet-17799,
oppein-pb-wss-3db27,OPPEIN,PB-WSS-3DB27,3 Drawer Base Cabinet,White Single Shaker,Particle board,model_ready,685.8,762.0,606.425,/cabinet-inventory/models/oppein-pb-wss-3db27.glb,https://www.oppeincabinetry.ca/shop/pb-wss-3db27-3-drawer-base-cabinet-17798,
oppein-pb-wss-3db24,OPPEIN,PB-WSS-3DB24,3 Drawer Base Cabinet,White Single Shaker,Particle board,model_ready,609.6,762.0,606.425,/cabinet-inventory/models/oppein-pb-wss-3db24.glb,https://www.oppeincabinetry.ca/shop/pb-wss-3db24-3-drawer-base-cabinet-17797,
oppein-pb-wss-3db21,OPPEIN,PB-WSS-3DB21,3 Drawer Base Cabinet,White Single Shaker,Particle board,model_ready,533.4,762.0,606.425,/cabinet-inventory/models/oppein-pb-wss-3db21.glb,https://www.oppeincabinetry.ca/shop/pb-wss-3db21-3-drawer-base-cabinet-17796,
oppein-pb-bss-3db27,OPPEIN,PB-BSS-3DB27,3 Drawer Base Cabinet,Blue Single Shaker,Particle board,model_ready,685.8,762.0,606.425,/cabinet-inventory/models/oppein-pb-bss-3db27.glb,https://www.oppeincabinetry.ca/shop/pb-bss-3db27-3-drawer-base-cabinet-17662,
oppein-pb-bss-3db30,OPPEIN,PB-BSS-3DB30,3 Drawer Base Cabinet,Blue Single Shaker,Particle board,model_ready,762.0,762.0,606.425,/cabinet-inventory/models/oppein-pb-bss-3db30.glb,https://www.oppeincabinetry.ca/shop/pb-bss-3db30-3-drawer-base-cabinet-17663,
oppein-pb-bss-3db33,OPPEIN,PB-BSS-3DB33,3 Drawer Base Cabinet,Blue Single Shaker,Particle board,model_ready,838.2,762.0,606.425,/cabinet-inventory/models/oppein-pb-bss-3db33.glb,https://www.oppeincabinetry.ca/shop/pb-bss-3db33-3-drawer-base-cabinet-17664,
oppein-pb-bss-3db36,OPPEIN,PB-BSS-3DB36,3 Drawer Base Cabinet,Blue Single Shaker,Particle board,model_ready,914.4,762.0,606.425,/cabinet-inventory/models/oppein-pb-bss-3db36.glb,https://www.oppeincabinetry.ca/shop/pb-bss-3db36-3-drawer-base-cabinet-17665,
oppein-ply-ssw-3db12,OPPEIN,PLY-SSW-3DB12,3 Drawer Base Cabinet,White Slim Shaker,Plywood,model_ready,304.8,762.0,606.425,/cabinet-inventory/models/oppein-ply-ssw-3db12.glb,https://www.oppeincabinetry.ca/shop/ply-ssw-3db12-3-drawer-base-cabinet-12514,
oppein-ply-ssw-3db15,OPPEIN,PLY-SSW-3DB15,3 Drawer Base Cabinet,White Slim Shaker,Plywood,model_ready,381.0,762.0,606.425,/cabinet-inventory/models/oppein-ply-ssw-3db15.glb,https://www.oppeincabinetry.ca/shop/ply-ssw-3db15-3-drawer-base-cabinet-12515,
oppein-ply-ssw-3db18,OPPEIN,PLY-SSW-3DB18,3 Drawer Base Cabinet,White Slim Shaker,Plywood,model_ready,457.2,762.0,606.425,/cabinet-inventory/models/oppein-ply-ssw-3db18.glb,https://www.oppeincabinetry.ca/shop/ply-ssw-3db18-3-drawer-base-cabinet-12516,
oppein-ply-ssw-3db21,OPPEIN,PLY-SSW-3DB21,3 Drawer Base Cabinet,White Slim Shaker,Plywood,model_ready,533.4,762.0,606.425,/cabinet-inventory/models/oppein-ply-ssw-3db21.glb,https://www.oppeincabinetry.ca/shop/ply-ssw-3db21-3-drawer-base-cabinet-12517,
oppein-pb-ssw-3db36,OPPEIN,PB-SSW-3DB36,3 Drawer Base Cabinet,White Slim Shaker,Particle board,model_ready,914.4,762.0,606.425,/cabinet-inventory/models/oppein-pb-ssw-3db36.glb,https://www.oppeincabinetry.ca/shop/pb-ssw-3db36-3-drawer-base-cabinet-18892,
oppein-pb-ssw-3db33,OPPEIN,PB-SSW-3DB33,3 Drawer Base Cabinet,White Slim Shaker,Particle board,model_ready,838.2,762.0,606.425,/cabinet-inventory/models/oppein-pb-ssw-3db33.glb,https://www.oppeincabinetry.ca/shop/pb-ssw-3db33-3-drawer-base-cabinet-18891,
oppein-pb-ssw-3db30,OPPEIN,PB-SSW-3DB30,3 Drawer Base Cabinet,White Slim Shaker,Particle board,model_ready,762.0,762.0,606.425,/cabinet-inventory/models/oppein-pb-ssw-3db30.glb,https://www.oppeincabinetry.ca/shop/pb-ssw-3db30-3-drawer-base-cabinet-18890,
oppein-pb-ssw-3db27,OPPEIN,PB-SSW-3DB27,3 Drawer Base Cabinet,White Slim Shaker,Particle board,model_ready,685.8,762.0,606.425,/cabinet-inventory/models/oppein-pb-ssw-3db27.glb,https://www.oppeincabinetry.ca/shop/pb-ssw-3db27-3-drawer-base-cabinet-18889,
oppein-pb-ssw-3db24,OPPEIN,PB-SSW-3DB24,3 Drawer Base Cabinet,White Slim Shaker,Particle board,model_ready,609.6,762.0,606.425,/cabinet-inventory/models/oppein-pb-ssw-3db24.glb,https://www.oppeincabinetry.ca/shop/pb-ssw-3db24-3-drawer-base-cabinet-18888,
oppein-pb-ssw-3db21,OPPEIN,PB-SSW-3DB21,3 Drawer Base Cabinet,White Slim Shaker,Particle board,model_ready,533.4,762.0,606.425,/cabinet-inventory/models/oppein-pb-ssw-3db21.glb,https://www.oppeincabinetry.ca/shop/pb-ssw-3db21-3-drawer-base-cabinet-18887,
oppein-pb-ssw-3db18,OPPEIN,PB-SSW-3DB18,3 Drawer Base Cabinet,White Slim Shaker,Particle board,model_ready,457.2,762.0,606.425,/cabinet-inventory/models/oppein-pb-ssw-3db18.glb,https://www.oppeincabinetry.ca/shop/pb-ssw-3db18-3-drawer-base-cabinet-18886,
oppein-pb-ssw-3db15,OPPEIN,PB-SSW-3DB15,3 Drawer Base Cabinet,White Slim Shaker,Particle board,model_ready,381.0,762.0,606.425,/cabinet-inventory/models/oppein-pb-ssw-3db15.glb,https://www.oppeincabinetry.ca/shop/pb-ssw-3db15-3-drawer-base-cabinet-18885,
oppein-pb-ssw-3db12,OPPEIN,PB-SSW-3DB12,3 Drawer Base Cabinet,White Slim Shaker,Particle board,model_ready,304.8,762.0,606.425,/cabinet-inventory/models/oppein-pb-ssw-3db12.glb,https://www.oppeincabinetry.ca/shop/pb-ssw-3db12-3-drawer-base-cabinet-18884,
oppein-ply-mnw-3db21,OPPEIN,PLY-MNW-3DB21,3 Drawer Base Cabinet,Natural Wood,Plywood,model_ready,533.4,762.0,606.425,/cabinet-inventory/models/oppein-ply-mnw-3db21.glb,https://www.oppeincabinetry.ca/shop/ply-mnw-3db21-3-drawer-base-cabinet-13979,
oppein-ply-mnw-3db18,OPPEIN,PLY-MNW-3DB18,3 Drawer Base Cabinet,Natural Wood,Plywood,model_ready,457.2,762.0,606.425,/cabinet-inventory/models/oppein-ply-mnw-3db18.glb,https://www.oppeincabinetry.ca/shop/ply-mnw-3db18-3-drawer-base-cabinet-13978,
oppein-ply-mnw-3db15,OPPEIN,PLY-MNW-3DB15,3 Drawer Base Cabinet,Natural Wood,Plywood,model_ready,381.0,762.0,606.425,/cabinet-inventory/models/oppein-ply-mnw-3db15.glb,https://www.oppeincabinetry.ca/shop/ply-mnw-3db15-3-drawer-base-cabinet-13977,
oppein-ply-mnw-3db12,OPPEIN,PLY-MNW-3DB12,3 Drawer Base Cabinet,Natural Wood,Plywood,model_ready,304.8,762.0,606.425,/cabinet-inventory/models/oppein-ply-mnw-3db12.glb,https://www.oppeincabinetry.ca/shop/ply-mnw-3db12-3-drawer-base-cabinet-13976,
oppein-ply-wss-3db12,OPPEIN,PLY-WSS-3DB12,3 Drawer Base Cabinet,White Single Shaker,Plywood,model_ready,304.8,762.0,606.425,/cabinet-library/models/PLY-WSS-3DB12.glb,https://www.oppeincabinetry.ca/shop/ply-wss-3db12-3-drawer-base-cabinet-9933,
oppein-pb-mso-3db36,OPPEIN,PB-MSO-3DB36,3 Drawer Base Cabinet,Smoked Oak,Particle board,model_ready,914.4,762.0,606.425,/cabinet-inventory/models/oppein-pb-mso-3db36.glb,https://www.oppeincabinetry.ca/shop/pb-mso-3db36-3-drawer-base-cabinet-18756,
oppein-pb-mso-3db33,OPPEIN,PB-MSO-3DB33,3 Drawer Base Cabinet,Smoked Oak,Particle board,model_ready,838.2,762.0,606.425,/cabinet-inventory/models/oppein-pb-mso-3db33.glb,https://www.oppeincabinetry.ca/shop/pb-mso-3db33-3-drawer-base-cabinet-18755,
oppein-pb-mso-3db30,OPPEIN,PB-MSO-3DB30,3 Drawer Base Cabinet,Smoked Oak,Particle board,model_ready,762.0,762.0,606.425,/cabinet-inventory/models/oppein-pb-mso-3db30.glb,https://www.oppeincabinetry.ca/shop/pb-mso-3db30-3-drawer-base-cabinet-18754,
oppein-pb-mso-3db27,OPPEIN,PB-MSO-3DB27,3 Drawer Base Cabinet,Smoked Oak,Particle board,model_ready,685.8,762.0,606.425,/cabinet-inventory/models/oppein-pb-mso-3db27.glb,https://www.oppeincabinetry.ca/shop/pb-mso-3db27-3-drawer-base-cabinet-18753,
oppein-pb-mso-3db24,OPPEIN,PB-MSO-3DB24,3 Drawer Base Cabinet,Smoked Oak,Particle board,model_ready,609.6,762.0,606.425,/cabinet-inventory/models/oppein-pb-mso-3db24.glb,https://www.oppeincabinetry.ca/shop/pb-mso-3db24-3-drawer-base-cabinet-18752,
oppein-pb-mso-3db21,OPPEIN,PB-MSO-3DB21,3 Drawer Base Cabinet,Smoked Oak,Particle board,model_ready,533.4,762.0,606.425,/cabinet-inventory/models/oppein-pb-mso-3db21.glb,https://www.oppeincabinetry.ca/shop/pb-mso-3db21-3-drawer-base-cabinet-18751,
oppein-pb-mso-3db18,OPPEIN,PB-MSO-3DB18,3 Drawer Base Cabinet,Smoked Oak,Particle board,model_ready,457.2,762.0,606.425,/cabinet-inventory/models/oppein-pb-mso-3db18.glb,https://www.oppeincabinetry.ca/shop/pb-mso-3db18-3-drawer-base-cabinet-18750,
oppein-pb-mso-3db15,OPPEIN,PB-MSO-3DB15,3 Drawer Base Cabinet,Smoked Oak,Particle board,model_ready,381.0,762.0,606.425,/cabinet-inventory/models/oppein-pb-mso-3db15.glb,https://www.oppeincabinetry.ca/shop/pb-mso-3db15-3-drawer-base-cabinet-18749,
oppein-ply-pgw-3db12,OPPEIN,PLY-PGW-3DB12,3 Drawer Base Cabinet,White High Gloss,Plywood,model_ready,304.8,762.0,606.425,/cabinet-inventory/models/oppein-ply-pgw-3db12.glb,https://www.oppeincabinetry.ca/shop/ply-pgw-3db12-3-drawer-base-cabinet-15433,
oppein-pb-mso-3db12,OPPEIN,PB-MSO-3DB12,3 Drawer Base Cabinet,Smoked Oak,Particle board,model_ready,304.8,762.0,606.425,/cabinet-inventory/models/oppein-pb-mso-3db12.glb,https://www.oppeincabinetry.ca/shop/pb-mso-3db12-3-drawer-base-cabinet-18748,
oppein-ply-pgw-3db15,OPPEIN,PLY-PGW-3DB15,3 Drawer Base Cabinet,White High Gloss,Plywood,model_ready,381.0,762.0,606.425,/cabinet-inventory/models/oppein-ply-pgw-3db15.glb,https://www.oppeincabinetry.ca/shop/ply-pgw-3db15-3-drawer-base-cabinet-15434,
